City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,lata,40.1629,-8.3327,19.4,95,1,0.82,PT,1691711438
349,ambodifotatra,-16.9833,49.85,21.85,84,14,4.66,MG,1691711439
350,porto novo,6.4965,2.6036,24.13,87,56,2.6,BJ,1691711439
351,savannakhet,16.566,104.751,24.99,92,100,3.85,LA,1691711439
352,cootamundra,-34.65,148.0333,8.3,75,2,0.92,AU,1691711439
353,suixi,33.8907,116.7747,27.17,77,49,1.13,CN,1691711439
354,issenye,-2.0,34.3333,21.92,66,99,1.28,TZ,1691711440
355,taoudenni,22.6783,-3.9836,38.84,8,26,8.55,ML,1691711440
356,cabo san lucas,22.8909,-109.9124,32.56,73,75,2.57,MX,1691711059
357,satipo,-11.2522,-74.6386,25.48,64,90,0.8,PE,1691711440
358,saskatoon,52.1168,-106.6345,24.53,47,100,4.02,CA,1691711316
359,monkey bay,-14.0728,34.9201,19.82,70,0,8.45,MW,1691711441
360,campbellton,48.0075,-66.6727,19.25,94,87,1.62,CA,1691711441
361,fale old settlement,-9.3852,-171.2468,27.79,78,79,5.65,TK,1691711441
